bowler,bowling Hand,bowling Type
Shoaib Ahmed,Right Handed,Right Arm Fast Medium
Y Venugopal Rao,Right Handed,Right Arm Off Break
JP Duminy,Right Handed,Right Arm Off Break
RR Rossouw,Left Handed,Right Arm Off Break
S Midhun,Right Handed,Right Arm Leg Break
M Kaif,Right Handed,Right Arm Leg Break
J Suchith,Left Handed,Left Arm Orthodox
Y Prithvi Raj,Left Handed,Left Arm Medium
JM Kemp,Right Handed,Right Arm Fast Medium
GS Sandhu,Left Handed,Right Arm Fast Medium
GB Hogg,Left Handed,Left Arm Chinaman (Googly)
S Sriram,Left Handed,Left Arm Orthodox
TM Dilshan,Right Handed,Right Arm Medium
V Sehwag,Right Handed,Right Arm Off Break
DR Sams,Right Handed,Left Arm Fast Medium
UA Birla,Right Handed,Right Arm Medium
Mohammad Nabi,Right Handed,Right Arm Off Break
Tejas Baroka,Right Handed,Right Arm Leg Break
SK Raina,Left Handed,Right Arm Off Break
VVS Laxman,Right Handed,Right Arm Off Break
Jaskaran Singh,Right Handed,Right Arm Medium
Shoaib Malik,Right Handed,Right Arm Off Break
EJG Morgan,Left Handed,Right Arm Medium
RG Sharma,Right Handed,Right Arm Off Break
JJ Roy,Right Handed,
